Summary,,,,,,,,, 267 , Fuel price , APV Strandard fuel consumption ,, 10 , 267 ,,,,, fuel price acual ,,,, Reported Fuel Consumption ,,,,,,,,,,,,,,,,,,,,Total:->,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!, 40 ,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#DIV/0!,,,
SN,REG,City,Date,Day,Session Location,Time In,Time Out,Remarks, Distance between cities (km) , Estimated Travel Time (Hours) , Estimated Fuel Cost (PKR) @ PKR 11/KM , Remarks about fuel , Avg Fuel Consumption by Suzuki APV (Km/ltr) , Actual Milage , Distance between Coordinates Given , Difference between cities and Location coordinates  , Vehicle Meeeting Reading , Additional Unrecorded Distance based on difference between meter Readings and through coordinates , Expected Distance through fuel inserts , Fuel Filled , Fuel spent in PKR , Amount remin in Fuel  , Fuel in Ltrs ,  Fuel Consumption Estimatted (Ltrs/11KM) ,  Fuel Consumption as per fuel tank filling  expense (KM/Ltr) , Fuel Avg Consumption , Fuel Price , Performance / Travel Flag ,Visual Fuel Bar (Exp vs Act),Session Sheet Ref,Activity Date,Day,Sales Rep Name,Sales Rep Contact,Host,Host Contact,Nearest Dealer,Dealer Name,Contact,Session Type,Village / Mauza,Spot Coordinates,Tehsil / District,Total Farmers,Total Wheat Farmers,Total Wheat Acres,Know Buctril,Used Last Year,Will Definitely Use,Maybe,Not Interested,Estimated Buctril Acres from this Session, Score Understood: Yield Loss 20-40%,Score Understood: Golden Period,Score Understood: Buctril Broadleaf,Score Understood Combine Benefit: Buctril+Atlantis,Score: Safety PPE,Reason to  Use: Better Weed Control,Reason to Use: Safe on Crop,Reason to use: Have Trust in Bayer,Reason to Use: Good Past Experience,Reason to Use: Dealer Recommending,Reason to Use: Offer/Gift,Reason to Use: Other,Reason Not to Use: Price Too High,Reason Not to Use: Happy with Generic,Reason Not to Use: Fear of Burn,Reason Not to Use: No Money,Reason Not to Use: Not Available,Reason Not to Use: Do Not Believe,Reason Not to Use: Other,No. of Key Influencers (Names Highlighted),Plan Yes Count,Plan Maybe Count,Plan No Count,Awareness Rate,Used Last Year Rate,Definite Use Rate,Maybe Rate,Not Interested Rate,Estimated Acres per Wheat Farmer,Average Understanding Score,Top Reason to Use (session),Top Reason Not to Use (session),Competitor Brands Mentioned (Key Influencers)
0,,Multan,23-Nov,Sat,,,,Start , -   ,  ,  , -   , 11 ,  , -   ,  , -   , -   , 400 ," 10,000 ",  ," 10,000 ", 37 ,  , 11 , 0 , 267 ,  ,  ,,23-Nov,,,,,,,,,,,"30¡11'52""N, 71¡28'11""E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SKR,Ubaro,24-Nov,Mon,#REF!,,,, 250 , 4 , -   , -   , 11 ,  , 240 , (10), 284 , 47 ,  , -   ," 5,820 "," 4,180 ",  , 22 , 11 , -   , -   , Over Fuel ,  , D1S1 ,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,   ,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!, 1 ,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,  ,#REF!,#REF!,  
,SKR,,,,#REF!,,,, -   ,  ,  , -   , 11 ,  , 3 ,  , -   ,  ,  , -   , 61 ," 4,120 ",  , 0 , 11 , -   , -   , Over Fuel ,  , D1S2 ,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,   ,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!, 1 ,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,  ,#REF!,#REF!,  
2,SKR,Dharki,25-Nov,Tue,#REF!,,,, 13 , 0 , -   , -   , 11 ,  , 15 , 2 , 383 , 87 ,  , -   , 356 ," 3,764 ",  , 1 , 11 , -   , -   , Over Fuel ,  , D2S1 ,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,   ,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!, 1 ,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,  ,#REF!,#REF!,  
,SKR,,,,#REF!,,,, -   ,  ,  , -   , 11 ,  , 3 ,  , -   ,  ,  , -   , 81 ," 3,683 ",  , 0 , 11 , -   , -   , Over Fuel ,  , D2S2 ,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,   ,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!, 1 ,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,  ,#REF!,#REF!,  
3,SKR,Ghotki,26-Nov,Wed,#REF!,,,, 41 , 1 ," 1,003 ", -   , 11 , 2 , 39 , (2), 400 , (10), 101 ," 5,000 "," 1,909 "," 6,774 ", 19 , 4 , 5 , 6 , 269 , Over Fuel , Exp:11.0 km/L | Act:2.1 km/L [__בבבבבבבב] -8.9 km/L , D3S1 ,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,   ,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!, 1 ,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,  ,#REF!,#REF!,  
,SKR,,,,#REF!,,,, -   ,  ,  , -   , 11 ,  , 12 ,  , -   ,  ,  , -   , 296 ," 6,478 ",  , 1 , 11 , -   , -   , Over Fuel ,  , D3S2 ,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,   ,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!, 1 ,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,  ,#REF!,#REF!,  
4,SKR,Ghotki,27-Nov,Thu,#REF!,,,, 65 , 1 ," 1,575 ", -   , 11 , 0 , 18 , (47), 501 , 102 , 260 ," 10,000 ", 676 ," 15,802 ", 38 , 2 , 7 , 4 , 267 , Over Fuel , Exp:11.0 km/L | Act:0.5 km/L [בבבבבבבבבב] -10.5 km/L , D4S1 ,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,   ,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!, 1 ,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,  ,#REF!,#REF!,  
